Fecha,ALIMENTOS Y BEBIDAS,SUMINISTROS INDUSTRIALES,COMBUSTIBLES Y LUBRICANTES,BIENES DE CAPITAL,EQUIPO DE TRANSPORTE Y SUS PIEZAS Y ACCESORIOS,ARTÍCULOS DE CONSUMO
2017-09-01,56.525209,216.512256,91.792978,191.779123,158.017325,109.311704
2017-10-01,61.528939,258.6426,59.111094,181.076123,124.089831,102.933919
2017-11-01,61.46641,269.490143,79.522073,183.493755,123.891432,114.468496
2017-12-01,55.181832,244.107066,116.222271,183.339075,138.903274,114.280143
2018-01-01,56.348876,240.268791,81.925158,228.071189,149.667914,93.715512
2018-02-01,47.422312,200.321386,48.25679,189.553438,104.371279,82.084539
2018-03-01,59.545007,240.860677,60.929965,195.682394,105.784557,99.764118
2018-04-01,56.088084,222.207482,139.104265,195.454944,96.559834,97.574541
2018-05-01,51.863301,257.29414,58.083969,167.716307,118.317139,101.295741
2018-06-01,43.846683,225.465217,71.937595,217.883055,144.027004,87.2549390000001
2018-07-01,57.036678,244.174856,88.628319,204.897604,129.432126,93.7559580000001
2018-08-01,60.221098,265.438116,104.529423,195.729469,138.763862,97.542344
2018-09-01,55.045627,220.138344,111.0474,166.843275,95.033677,95.016436
2018-10-01,68.321858,295.104364999999,202.751804,224.017317,126.538762,112.920045
2018-11-01,64.625876,291.866361,170.121369,179.542305,116.422901,115.823635
2018-12-01,56.067529,270.131743,126.257297,225.481587,167.709407,104.957507
2019-01-01,58.299578,279.500201,149.242015,182.297288,122.986094,104.837273
2019-02-01,56.630298,245.577517,117.441291,192.966269,114.309167,98.882001
2019-03-01,47.159553,215.179909,127.328625,136.188678,95.696744,94.838305
2019-04-01,56.282952,235.26595,129.614955,173.769968,104.43977,95.017123
2019-05-01,55.707367,250.884987,221.095864,181.106259,98.93405,116.443768
2019-06-01,46.257804,221.760916,102.495813,207.337556,99.504135,90.573738
2019-07-01,61.004502,248.689395,116.855373,170.720252,109.315533,109.726194
2019-08-01,58.363928,247.950203,111.997584,201.368172,138.921252,102.851048
2019-09-01,48.02201,234.493335,74.223196,164.866373,120.206591,97.077976
2019-10-01,58.539805,255.732007,112.64175,153.370617,102.207232,100.438364
2019-11-01,40.153849,161.343088,102.690736,154.007394,105.717159,78.357692
